,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
"COMMERCIAL, INDUSTRIAL, CIVIC PROJECTS",,,,,,,
Application Approved,,,,,,,
68,Kaiser Center,"Tomas Schoenberg
The SWIG Company
(415)291-1100","300 Lakeside Drive
Area bounded by 20th and 21st Streets and Webster and Harrison Streets",3,"nDemolition of 280,000 S.F.
n2 new towers:42-stories with 780,000 S.F. office
34-stories with 565,000 S.F. office and 22,000 S.F. retail
","Heather Klein
 238-3659",NOP published 05/22/08. Environmental Scoping Session before the LPAB 06/09/08 and Planning Commission 06/18/08.  DEIR published 8/23/10. LPAB DEIR hearing 10/4/10. PC DEIR hearing 10/6/10. FEIR published 04/21/11. Planning Commission approval and FEIR certification 05/04/11.
Projects Under Construction,,,,,,,
69,~Oakland Army Base,"CCIG Prologis; City of Oakland; Doug Cole
(510)238-7661","Maritime St. and W. Grand Ave.
APN: multiple",3,§Redevelop 160 acres with approx. 1.5 million sq. ft. of new industrial space.                                                   § Estimated 500 million dollar project cost,"Darin Ranelletti,           510-238-3663; Doug Cole,                                      510-238-7661",Master Plan and LDDA approved June 2012. Rezoning approved 7/13. Horizontal infrastructure improvements under construction.
70,~Safeway (College Ave),"Ken Lowney
(510)836-5400","6310 College Ave
APN: 048A-7070-001-01

",3,"§New 45,000 sq.ft. grocery store and ground floor retail with additional 9,500 sq.ft. of commercial                                       §Estimated project cost 9.8 Million Dollars ( $ 8.6 million cost of the store and $ 1.2 million of the retail building)

","Peterson Vollmann
238-6167", NOP published 10/30/09.  DEIR published 07/1/11. FEIR published 7/6/12. Planning Commission approval and certification of FEIR 7/25/12.  City Council approved revised project 12/18/12. Building permit # B1301812.Project under construction. Retail building permit # B1304086 under review.
71,Alta Bates Summit Medical Center- Summit Campus Master Plan ,"Alta Bates Summit Medical Center
Shahrokh Sayadi
(415)203-6345
","23-acre campus generally between Telegraph and Webster, and between 30th Street and 34th Street 
APN - Multiple",3,"ABSMC Master Plan  
Phase 1 
§Demolition of the Merritt Classroom and other small buildings
§Construction of a new 230,000 S.F. (11-story) acute care hospital
§1,090-space (7-story) parking garage. 
Phase 2 
§Longer-term campus-wide improvements, new medical office buildings, classrooms and closure of a portion of Summit St for development of a new campus plaza. 
","Bill Quesada, 
Building Services,
238-6345",Application filed. NOP published 01/23/09. DEIR published 12/21/09. FEIR published 5/7/10. Planning Commission approval 05/19/10. Appealed to City Council. Council denial of the appeal and approval of the project 07/06/10. Building permit B#1001826 for the parking garage. Main hospital permit granted under OSHPD. Phase II  under construction. Under construction.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
"COMMERCIAL, INDUSTRIAL, CIVIC PROJECTS",,,,,,,
Projects Under Construction,,,,,,,
72,Kaiser Permanente,"Kaiser Permanente 
Judy DeVries
(510) 752-2004",Generally the area surrounding the intersection of Broadway and Macarthur Boulevard.,1 and 3,"§Master Plan for new Hospital
Phase II
§1,216 space parking structure 
§ Hospital building (346 beds, approx. 1.06 M sq.ft.) 
§ Central utility plant
","Bill Quesada, 
Building Services,
238-6345

","Planning Commission certification  and approval of FEIR  06/07/06. City Council approval of GPA, RPA and re-zoning 6/27/06. Planning Commission approval of the design of Phase I MOB 11/1/06.  Planning Commission approval of Design Review for Phase 2 Hospital 11/19/08. Building permit B#0902127 for the parking garage. Main hospital permit granted under OSHPD. Phase II  under construction.
"
73,Foothill Square Redevelopment Project,"Jay-Phares Corp.
John Jay
(510)562-9500
","10700 MacArthur Boulevard
APN: 047 -5589-001-00
047 -5589-001-06 
047 -5589-001-05
047 -5589-001-04
",7,"§Redevelopment of a commercial shopping center approx. 13.8 acres
§72,000 sq.ft. supermarket                                        § Estimated  18 million dollars project cost.
","Aubrey Rose
238-2071",Planning Commission approval 05/04/11. Building permit #B1004457 issued. Project under construction.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
Residential Projects,,,,,,,
1,Bakery Lofts,"Madison Park Financial
(510) 452-2944","945 53rd Street
APN: 049 -1173-002-00",1,"Phase III 
§61 units
§3161 sq.ft. of commercial","Lynn Warner
238-6983",Project completed in year 2014.
2,720 E 11th Street,"Robert Stevenson
(415)786-6631","720 E 11th Street
APN: 019 -0033-010-02
",2,"n55 affordable units
","Moe Hackett
238-3973",Project completed in year 2012.
3,116 6th St*,"Affordable Housing Associates
Adam Deromedi
(510) 649-8500","116 6th Street
609 6th Street
APN: 001-0173-009-00
",2,"n70 senior affordable apartment units

","Heather Klein
238-3659",Project completed in year 2012.
4,Arcadia Park,"Pulte Homes
Andy Cost
(925) 249-3200","98th Ave. at San Leandro St., APN - multiple",7,n168 residential units (previously approved for 366 residential units),"Darin Ranelletti
238-3663",Project completed in year 2012.
5,"City Walk
City Center T10 (2005)*","Alta City Walk, LL
(415) 888-8075
","13th/14th/MLK/Jefferson
APN: 002-0029-001-00
",3,"n3,000 sq.ft. retail
n252 residential units 
","Don Smith, Bldg. Permits,
238-4778
",Project completed in year 2012.
6,"Lion Creek Crossing 
(formerly Coliseum Gardens)","EBALDC
Carlos Castellmos
(510) 287-5335","66th Ave. at San Leandro Street
APN-Multiple",6,"n283 residential units
n7,500 sq.ft of civic and commercial space
npark
",Catherine Payne                             238-6168 ,Phase I-IV completed in year 2012.
7,HFH Apartments,"Andy Getz
(510) 652-4191","1401-1405 Wood Street
APN: 000O-0310-012-00",3,"nPhase I 159 apartments
nPhase II 142 apartments","Don Smith, Bldg. Permits, 238-4778",Project completed in year 2012.
8,Altenheim Senior Housing,"Citizens Housing Corporation
Kaori Tokunhea
(415) 421-8605","1720 Macarthur Boulevard
APN: 023-0494-001-07",5,"Phase II
n 83 apartments units (new construction)
","Scott Miller
238-2235",Project completed in year 2010.
9,Ironhorse Apartments at Central Station (formerly 14th Street Apartments -Wood Street) ,"Bridge Housing
Ben Metcalf
(415) 989-1111",Portions of APN: 0006-0029-001 and 0000-0315-006.  ,3,n99 Affordable housing units,"Don Smith, Bldg. Permits 
238-4778",Project completed in year 2009.
10,Zephyr Gate -Wood Street,"Pulte Homes
(925) 249-3268","Wood Street
APN: 006-0029-001-00",3,"n130 residential condominium units

","Don Smith, Bldg. Permits 
238-4778",Project completed in year 2009.
11,3860  Martin Luther King Jr. Way ,"Neil Cotter
(650) 259-9303 ","3860 & 3880 Martin Luther King Jr. Way 
APN: 012-0968-030-01 
 012-0968-031-00 ",1,"n34 residential units
","Darin Ranelletti,                     238-3663
",Project completed in year 2009.
12,Jackson Courtyard Condominiums*,"Gerald Green
(415) 377-5286","210 – 14th Street
APN 008 –0627-020-00
",3,n45 condominium units,Heather Klein                      238-3659,Project completed in year 2009.
13,630 Thomas Berkley Square Housing *,"SUDA/
Alan Dones
(510) 715-3491
","630 Thomas L. Berkley Way
APN: N/A - TPM7541 Parcel 3
",3,"n88 residential condominium units
n3 commercial spaces
",Heather Klein                       238-3659,Project completed in year 2009.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
Residential Projects,,,,,,,
14,1755 Broadway*,"1755 Broadway LLC
Andrew Brog
(310) 963-7878","1755 Broadway
APN:008 -0640-005-00",3,nConversion of floors 2-5 of office to 24 live/work condominiums.,"Mike Rivera,                          238-6417",Project completed in year 2009.
15,Fox Courts,"Deni Adaniya
(510) 841.4410, ext.19

","Uptown Parcel 6 
555-19th Street, 550-18th Street
APN 008-0642-017
",3,§80 residential units                  §2500 sq.ft.                      §Childcare                                         §Art space,"Catherine Payne 
238-6168 ",Project completed in year 2009.
16,311 2nd St*,"Embarcadero Pacific
Michael Reynolds
(510) 444-4064
","311 2nd Street
APN:001 -0149-007-00",3,"n105 residential condominium units

",Heather Klein               238-3659,Project completed in year 2009.
17,100 Grand*,"Essex Property Trust 
John Eudy
(650) 849-1600","124 Grand Ave and 2264 Webster St.
APN: 008-0655-007-00 & 
008-0655-009-01",3,n241 residential units,"Darin Ranelletti
238-3663",Project completed in year 2009.
18,Pacific Cannery Lofts,"PCL Associates
Cal Inman
(510)547-2122","1111-1119 Pine Street
APN: 006-0029-002-00",3,"n99 condo warehouse lofts
n45 live/work lofts
n15 townhouse lofts
n4 work/live lofts
(part Wood Street Development)","Don Smith, Bldg. Permits 
238-4778",Project completed in year 2009.
19,Madison Lofts*,"Affordable Housing Associates
Mark Garrel
(510) 649-8500","160 14th St.
APN: 008-0628-005-01",3,"nApproximately 76 condominium units
n2,666 sq.ft of retail","Neil Gray
238-3878 ",Project completed in year 2009.
20,Packard Lofts* (formerly 2355 Broadway),"2355 Broadway LLC
John Protopappas
(510) 452-2944","2355 Broadway
APN: 008-0666-006-00",6, nAdaptive re-use of historic building into 24 condominiums and ground floor retail,"Heather Klein,             238-3659 ",Project completed in year 2008.
21,The Ellington* (formerly 3rd/Broadway Mixed Use),"The Emerald Fund
Marc Babsin
415-777-2914

","200/210/228 Broadway
APN: 001 –0141-002-01
001 –0141-011-00
",3,"n134 residential units
n11,000 sq.ft. retail
","Heather Klein,              238-3659
Don Smith, Bldg. Permits
238-4778
",Project completed in year 2008.
22,901 Jefferson*,"Pyatok Architects Inc 
Gary Struthers
(510) 465-7010
","901& 907 Jefferson Street
APN: 002-0025-007-00 through 002-0025-009-00",3,"n75 condominium units
n1,030 sq.ft. retail","Darin Ranelletti, 
238-3663",Project completed in year 2008.
23,8 Orchids*,"BayRock Residential
Marilyn Ponte
(510) 594-8811","620-636 Broadway
APN:  001-0197-002-00
",2,"n3,600 sq.ft retail
n157 condominium units",Heather Klein                  238-3659,Project completed in year 2008.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
Residential Projects,,,,,,,
24,Housewives Market*,"A. F. Evans
Steve Kuklin
(415) 591-2204
","8th/9th/Clay and Jefferson
801-807 Clay Street
APN: 001-0209-001, 002, 003, 004
",3,"Phase II
n72-86 condominium units
n14,000 sq.ft flexible space
","Don Smith, Bldg. Permits 
238-4778 ",Project completed in year 2007.
25,Siena Hills,"Hillside Homes
Edward Patmont
(925) 946-0583","Between Rilea Way and Greenridge Drive on Keller Ave.
APN: 04A-3457-033-01",6, n10 single-family homes,Heather Klein           238-3659,Project completed in year 2007.
26,Uptown Project *,"Forest City Residential, Inc.
Susan Smartt                             
(415) 836-5980","Area bounded by San Pablo, Telegraph, 18th and 20th Streets
APN - Multiple",3,"nParcel I
nParcel II
nParcel III
n665 residential units","Catherine Payne,                             238-6168  ",Project completed in year 2007.
27,"Monte Vista Villas
(formerly Leona Quarry)","The DeSilva Group
David Chapman
(925) 828-7999","7100 Mountain Boulevard
APN: 037A-3151-001-01
",6,"n310 residential units
n3,350 sq.ft community center

","Bill Quesada, 
Building Services,
238-6345

",Project completed in year 2007.
28,"288 Third Street*
(formally 300 Harrison Street)","Signature Properties
Chris Weekley
(925) 463-1122
","300 Harrison Street
APN: 001-0153-016
",3, n91 condominiums units,"Scott Miller
238-2235","Project completed in year 2007.
"
29,Altenheim Senior Housing (Phase I),"Citizens Housing Corporation
Kaori Tokunhea
(415) 421-8605","1720 Macarthur Boulevard
APN: 023-0494-001-07",5,"n93 apartment units
n Rehabilitation of existing historic buildings","Scott Miller
238-2235",Phase I completed in year 2007.
30,206 Second Street*,"MV Jackson
Robison Brown
(415) 284-1200","206 Second Street
APN: 001-0157-003-00",3,"n2,380 sq.ft of live/work
n1,310 sq.ft of retail space
n75 condominium units",Heather Klein                  238-3659,Project completed in year 2007.
31,1511 Jefferson *,"Meritage Homes of California
Randall Harris
(925) 256-6042","1511 Jefferson Street
APN:003-0071-006-00",3,n78 condominium units,"Robert Merkamp
238-6283",Project completed in year 2007.
32,Ford Street Lofts,Signature Properties                             (905) 436-9350,"3041, 3061, and 3065 Ford Street
APN: 025-0666-002-00",5,n81 condominium residential units,"Scott Miller
238-2235",Project completed in year 2007.
33,Housewives Market*,"A.F. Evans
Steve Kuklin
(415) 591-2204
","8th/9th/Clay and Jefferson
801-807 Clay Street
APN: 001-0209-001, 002, 003, 004
",3,"Phase I
nBetween 102 -111 condominium units
n11,000 sq.ft flexible space                                   §3,000 sq.ft of retail
nStructured parking

","Don Smith,                Bldg. Permits 
238-4778", Project completed in year 2007.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
Residential Projects,,,,,,,
34,Green City Loft Project,"Green City Development
Martin Samuels 
(510) 635-7698
","41st and Adeline; land area is in both Oakland and Emeryville. 1007 41st Street
APN: 012 –1022-001-00
",1,n62 lot units on former office/warehouse site,"Don Smith, Bldg. Permits  
238-4778",Project completed in year 2007.
35,66th & San Pablo,"The Olson Company
(925) 242-1050 
","6549 San Pablo Ave
APN: 016-1506-001-02",1,n72 condominium units,Lynn Warner                                          238-6983,Project completed in year 2006.
36,Wheelink Project*,"Jordan Real Estate
Wayne Jordan
(510) 663-3865","4th and Alice Street; JLS District
426 Alice Street
APN 001 –0155-001-00
",3,"n94 residential units
n9,800 sq.ft office","Scott Miller,                238-2235
Don Smith, Bldg. Permits
238-4778
",Project completed in year 2006.
37,Lincoln Court Senior Housing ,"Domus Development
(415) 558-9500
","2400 Macarthur Blvd
APN: 029 -0993-020-01",4,n82 senior housing apartment units,"Robert Merkamp
238-6283",Project completed in year 2006.
38,"Aqua Via*
(Harbor View or Second Street Lofts)","Urban Developments
Marge Cafarelli
(415) 512-8118","121-129 2nd Street
APN: 001-0165-015-00",3,"n100 condominium units               n5,190 sq.ft of commercial / office",Heather Klein          238-3659,Project completed in year 2006.
39,Cotton Mill Studios,"Tom Dolan Architects
(510) 839-7200","1091 Calcot Place
APN: 019-0055-001-04",5,n74 unit live/work conversion,"Scott Miller
238-2235",Project completed in year 2006.
40,Glascock Residential Project    “The Estuary”,"Signature Properties
Patrick Van Ness
 (925) 463-1122","2893 Glascock at Derby
4.1 Acres
APN: 025-0674-001-00 
025-0674-002-00 
025-0674-003-00
",5,n100 residential units,"Scott Miller
238-2235",Project completed in year 2006.
41,Preservation Park III*,"Signature Properties
(905) 436-9350
","11th – 12th and MLK on a vacant parcel
655 12th Street
APN: 002-0021-011-01
002-0021-012-00
",3,n92 residential townhouses,"Don Smith, Bldg. Permits, 238-4778",Project completed in year 2006.
,,,,,,,
,,,,,,,
42,City Limits Project (Formerly FABCO),"Pulte Homes
Dennis O'Keefe
(925)249-3218","1165 and 1249 67th Street west of San Pablo Ave.
APN: 049-1507-004-00
 016 –1507-008-03
016 –1507-009-02
",1,n92 condominium residential units,"Scott Miller 
238-2235",Project completed in year 2005.
43,Arioso Project*,"SNK Development
(415) 896-1186
","901 Franklin Street
APN: 002-0096-004-00

",2,"n88 condominium units
n6,000 sq.ft commercial structured parking
","Don Smith, Bldg. Permits
 238-4778","Project completed in year 2005.
"
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
Residential Projects,,,,,,,
44,Palm Villas Residential Project,"Em Johnson Interest
(510) 839-3057
","9001-9321 MacArthur Blvd.
APN: 047-5484-006-04, 007-03, 010-02, 011, 012, 013, 022-01, 022-02, 023
",7,n78 single family homes,"Don Smith, Bldg. Permits, 238-4778",Project completed in year 2004.
45,Telegraph Gateway Project *,"Tom Dolan Architects
Scott Galka
(510) 839-7200
","Telegraph Ave. and 24th Street
2401 Telegraph Avenue
APN: 008-0675-004-00
",3,"n50 new residential lots
n5,300 sq.ft ground floor retail
","Don Smith, Bldg. Permits 
238-4778",Project completed in year 2004.
46,Mandela Gateway Townhomes,"Bridge Housing
Kristy Wang
(415) 989-1111","1431 8th Street
APN: 004-0067-021-00",3,§14 condominium units,Heather Klein                 238-3659,Project completed in year 2003.
47,Ettie Street/Mandela Parkway,"David Baker Architects
(415) 896-6700
","2818 Mandela Parkway
APN: 007-0587-002-05
",3,n91 live/work units,"Don Smith, Bldg. Permits, 238-4778","Project completed in year 2003.
"
48,Mandela Gateway Gardens (formerly Westwood Gardens),"Oakland Housing Authority and Bridge Housing
Pete Nichol
(415) 989-1111","1431 7th Street
APN: 004-0067-021-00",3,"§200 residential units (40 units in replacement of existing Westwood Gardens) 15,000 sq.ft of retail space - combination rental and ownership; Some live/work units.",Heather Klein                238-3659,Project completed in year 2003.
49,Durant Square,"Signature Properties
(925) 463-1122
","International Blvd. And Durant Ave.
10970 International Blvd.
APN: 047-5519-043-00
",7,"n43 new single family
n168 new townhouses
n40 new live/work (60 total)
nFood 4 Less
nRenovated building with continued commercial uses
","Heather Klein                     238-3659
Bill Quesada, Building Permits, 238-6345
",Project completed in year 2003.
50,San Pablo Affordable Senior Housing,"Oakland Community Housing Inc.
(510) 763-7676
","3255 San Pablo Avenue between 32nd and 34th Streets
APN: 005-0470-017-01
",3,n 50+ residential units,"Don Smith, Bldg. Permits  
238-4778",Project completed in year 2003.
51,Bridge Housing – Linden Court,"Bridge Housing 
(415) 989-1111
","1089 26th Street. Near McClymonds High School in West Oakland
APN: 005-0435-001-00
",3,nLow-income housing (approx. 79 units) ,"Don Smith, Bldg. Permits  
238-4778","Project completed in year 2003.
"
52,Bridge Housing - Chestnut Court,"Bridge Housing
(415) 989-1111
","2240 Chestnut Street, at West Grand
APN: 005-0428-001-00
",3,"nHope IV project in conjunction with OHA
n58 affordable rental housing units
n6 affordable for sale housing units
n14 loft units, 4,000 sq.ft retail
n4,000 sq.ft supportive services
","Don Smith, Bldg. Permits
238-4778
",Project completed in year 2003.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
Residential Projects,,,,,,,
53,The Essex - Lake Merritt*,"Lakeshore Partners
Tom Peterson
(510) 444-7191","17th and Lakeshore
108 - 17th Street
 APN: 008-0633-002-01",2,n270 residential units,"Don Smith, Bldg. Permits
238-4778
",Project completed in year 2002.
54,Allegro Project*,"SNK Development
(415) 896-1186","3rd and Jackson Streets
208 Jackson Street
APN:001-0159-006-00",3,"§312 units
§13,500 sq.ft commercial 
","Don Smith, Bldg. Permits, 238-4778",Project completed in year 2002.
55,Safeway Building*,"Reynolds & Brown
Dana Perry
(925) 674-8400","4th and Jackson Streets
201 4th Street
APN: 001-0155-008-00",3,"§Reuse existing warehouse and add new top floor for  46 live/work units 
§4,500 sq.ft  commercial
§6,500 sq.ft office","Don Smith, Bldg. Permits, 238-4778",Project completed in year 2002.
56,"46th Street Lofts
(formerly Flecto Project)","Levin, Menzies, Kelly 
Paul Menzies
(925) 937-4111
","47th and Adeline; land area is in both Oakland and Emeryville.
119 Linden Street
APN: 049-1172-002
 013-1172-003
 013-1172-004
",1,"n79 units and 3,000 sq.ft commercial space
nAdaptive reuse of and addition to the former Flecto building.
","Catherine Payne
238-6168    ",Project completed in year 2006.
Mixed-Use Projects,,,,,,,
57,"Seven Directions
","Pyatok Architects Inc, 
Curtis Caton, 
(510) 465-7010
","2946 International Boulevard
APN: 025-0716-012-00",3,"n38 housing units
n20,115 S.F. clinic space","Scott Miller 
238-2235",Project completed in year 2008.
58,"Broadway West Grand
(formerly known as Negherbon Mixed Use Project)*","Signature Properties
Doug Park
(925) 463-1122
","2345 Broadway
APN: 008 –0666-007-00
",3,"Parcel A
n132 residential units
n21,300 sq.ft. retail
",Catherine Payne            238-6168,Project completed in year 2006.
59,Dreyer's Site Residential Lofts*   The Sierra,"COD Builders
Kava Massih
(510) 644-1920","311 Oak Street
APN: 001-0163-012-00",3,"§220 units 
§30,000 sq.ft commercial","Don Smith, Bldg. Permits
238-4778",Project completed in year 2003.
60,Fruitvale Transit Village Phase I,"FDC, Evelyn Johnson, 
(510) 535-6911
","Fruitvale BART Station

",5,nMasterplan for residential and commercial/civic use and new parking structure,"Darin Ranelletti                 238-3663

",Project completed in year 2003.
"Commercial, Industrial, and Civic Projects",,,,,,,
61,~Oakland Zoo (Master Plan Amendment) Phase I,"East Bay Zoological Society
Nik Haas-Dejehia
(510) 623-9525 x138","9777 Golf Links Rd
APN - multiple",7,§Revisions to the Oakland Zoo Master Plan previously approved in 1998,"Darin Ranelletti
238-3663",Phase I (veterinary hospital) completed in year 2013.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
"Commercial, Industrial, and Civic Projects",,,,,,,
62,Lake Merritt Channel Wetland and Widening Project,"City of Oakland 
","Lake Merritt Channel between Lake Merritt and I-880
APN: 000O-0450-001, 002, 000O-0455-001-01, 001-07, 008-05,012",2,"nWidening and tidal restoration improvements along Lake Merritt in association with the 12th Street Reconstruction Project, 10th Street Bridge Project, and Lake Merritt Channel Improvement Project at the 7th Street Flood Control Station.","Lesley Estes, Watershed Improvement Program Supervisor,  
238-7431
",Project completed in year            2013.
63,Aspire Public Schools,"Charles Robitaille
925-698-1118","1009 66th Ave
APN:041-4056-003-00",6,nDemolish vacant industrial building/construct a school with 420 students,"Aubrey Rose
238-2071",Project completed in year 2011.
64,Kaiser Permanente,"Kaiser Permanente 
Judy DeVries
(510) 752-2004",Generally the area surrounding the intersection of Broadway and Macarthur Boulevard.,1 and 3,"Phase I
West Broadway Medical Services Building and Garage
Phase II
Specialty Medical Office Building","Scott Gregory
(contract planner)
(510) 535-6690
",Project completed in year 2011.
65,Jack London Square Redevelopment ,"Jack London Square Partners, 
Stuart Richard, 
(415)391-9800
","Eight Development areas within Jack London Square bounded by Alice, 2nd, Harrison, and Embarcadero.
APN - Multiple
",3,"ncommercial, office, and parking                                                 §Site C (10 Clay Street/505 Embarcadero West) (Ferry Landing)
§Site F (65 Harrison Street) (Jack London Market)
§Site G (255-2nd Street) (Jack London Parking Garage)

","Catherine Payne                 238-6168
","Site C, G and F completed in year 2009.
"
66,Head Royce School,John Malick & Associates                 John Malick                            (510)595-8042,"4315 Lincoln Ave
APN: 029A-1367-004-04                 ",4,nDevelopment of School Masterplan,Heather Klein                     238-3659,Project completed in year 2009.
67,Cathedral of Christ the Light,"CMA
Eileen Ash
(415) 597-8414","2121 Harrison Street and Grand Avenue
APN:008-0653-024",3,"n 255,000 sq.ft Cathedral","Catherine Payne
238-6168 ",Project completed in year 2009.
68,Thomas Berkley Square,"SUDA/
North County Center for Self Sufficiency
Alan Dones
(510) 715-3491","San Pablo Ave between MLK Jr. Way, Thomas L. Berkley Way, and 21st Street.
630 20th Street
APN: 008-0645-015-01 
008-0645-01801 and 02
0080645-019 through 025",3,"n 114,000 sq.ft office for the Alameda County Social Services Division and the North County Self Sufficiency Center
n 5,000 sq.ft. of retail","Heather Klein                           238-3659
Don Smith, Bldg. Permits
238-4778",Project completed in year 2009.
69,Perkins Street Residential Care ,"A.F. Evans
John Rimbach
(510) 891-444-7191","468-484 Perkins St.
APN: 010-0767-014-00",3,n56 room  care facility for elderly residents,"Don Smith, Bldg. Permits 238-4778",Project completed in year 2009.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
"Commercial, Industrial, and Civic Projects",,,,,,,
70,Cox Cadillac Mixed Use,"Bond Company
Robert Bond
(312) 853-0070
","Intersection of Harrison St., 27th and Bay Place
230 Bay Place
APN 010 –0795-027-01
",3,"n56,000 sq.ft commercial
nRenovation of historic Cadillac
Showroom
","Don Smith, Bldg. Permits, 238-4778
",Project completed in year 2008.
71,66 Franklin Street*,"Komorous-Towey                  
Klara Komorous           
(510)446-2244","66 Franklin Street
APN:001-0060-322",3,nRenovation of existing building with approximately 95 sq.ft. of commercial ,"Scott Miller 
238-2235",Project completed in year 2008. 
72,Center 21,"John Sutton
Prentiss Properties
(510)465-2101","2100 Franklin Street
APN:008 -0651-003-01",3,"n15,000 sq.ft retail
n218,000 sq.ft office","Catherine Payne
238-6168 ",Project completed in year 2007.
73,City Center T9 (2000),"Shorenstein Realty Investors
Nick Loukianoff
(415) 772-7062","11th/12th/Clay/Jefferson
APN: 002-0033-006-00 through 015-00",3,"§450,000 sq.ft. office
§7,500 sq.ft. retail","Don Smith, Bldg. Permits 238-4778",Project completed in year 2001.
74,East Oakland Sports Center,"City of Oakland
Community and Economic Development Agency
Project Delivery Division 
Lyle Oehler
(510) 238-3389
","9175 Edes Avenue 
APN: 044-5053-001-06
",7,"nPhased Master Plan for a sports center at Ira Jinkins Park. 
Phase 1
n26,000:indoor swimming pool/water slide (natatorium), a dance/exercise room, a multi-purpose room/learning center, and other accessory activities. If  funded a fitness/weight room and two outdoor basketball courts
Phase II
n23,000 square foot facility and outdoor amenities","Lynn Warner
238-6983",Project completed in year 2007.
75,"17th Street Parking 
Garage","California Commercial Investments
Phil Tagami  
(510) 268-8500
","16th and 17th Streets and San Pablo Avenue
1630 San Pablo
APN: 008 –0620-015-00
008 -0620-014-00
008 –0620-009-01
",3,n+330 -space parking garage,"Heather Klein                238-3659
Patrick Lane, Redevelopment, 
238-7362

",Project completed in year 2006.
76,Lexus Dealership,"Lance Gidel
(408) 370-0280
","Oakport St. at Hassler Way
APN: 034-2295-005-04
",7,"n22,000 sq.ft building for auto sales, service, repair of parts
nOutdoor auto sales lot for 275-290 cars
","Heather Klein            238-3659

", Project completed in year 2006.
77, Infiniti of Oakland,Hendricks Automotive                         Ron Tye                                         (925) 463-9074,"Oakport Road at Hassler Way
APN: 034-2295-005-04
",7,n New automotive dealership,"Heather Klein                             238-3659
",Project completed in year 2006.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
SUCCESSFUL COMPLETIONS,,,,,,,
"Commercial, Industrial, and Civic Projects",,,,,,,
78,Edgewater Distribution Center,AMB Property Corp.,"7200 Edgewater Drive
APN: 041 –3902-003-17",7,"§406,700 sq.ft warehouse/industrial use","Port of Oakland Commercial Real Estate 627-1210
",Project completed in year 2004. 
79,Best Buy Retail Store,Best Buy – Architects MBH – Sherry Fraiser (510) 865-8663,"Yerba Buena and Mandela Parkway (Portion of OTR site)
APN: 007-0617-047-00",3,"§45,000 sq.ft  Best Buy retail store proposed","Don Smith, Bldg. Permits, 238-4778",Project completed in year 2003.
80,Rainin Instruments,"Carl Groch,
(415) 592-3950
","Edgewater Drive & Hassler Road
7500 Edgewater Drive

",7,"n180,000 sq.ft office/manufacturing/R&D facility
","Don Smith, Bldg. Permits 238-4778",Project completed in year 2002.
81,"Oakland Garden Hotel
(Courtyard Marriott)","Michael Chan
Oakland Garden Hotel
(510) 251-6440","9th and Broadway
900 Broadway
APN: 002-0094-002-00",2,§150-room hotel,"Don Smith, Bldg. Permits 238-4778",Project completed in year 2002.
82,1111 Jackson Street – Phase I,"Peter Wong
(510) 628-9060","1111 Jackson Street
APN 002-75-002-00",2,"§Renovation of existing 111,000 sq.ft State office building","Don Smith, Bldg. Permits, 238-4778",Project completed in year 2002.
